[O-][N+](=O)C1=CC=C(Cl)C=C1	DTXSID5020281
NC1=CC(N)=C(Cl)C=C1	DTXSID0020282
NC1=C(N)C=C(Cl)C=C1	DTXSID5020283
NC1=CC=C(N)C(Cl)=C1	DTXSID0020284
CC1=C(Cl)C=C(N)C=C1	DTXSID0020286
CC1=CC=C(Cl)C=C1N	DTXSID5020287
CC1=C(N)C=CC(Cl)=C1	DTXSID0020288
CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1	DTXSID4020290
ClCC=O	DTXSID4020292
ClCC(=O)C1=CC=CC=C1	DTXSID9020293
CC(=O)NC1=CC=C(C=C1)C(=O)CCl	DTXSID4020294
NC1=CC=C(Cl)C=C1	DTXSID9020295
NC1=CC=C(Cl)C=C1	DTXSID4020296
ClC1=CC=CC=C1	DTXSID4020298
CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	DTXSID9020299
ClC(Br)Br	DTXSID1020300
C[N+](C)(C)CCCl	DTXSID6020303
ClC(Cl)Cl	DTXSID1020306
COCCl	DTXSID6020307
ClCC1=NC=CC=C1	DTXSID1020308
ClCC1=CC=CN=C1	DTXSID6020309
ClC1=CC=C(OS(=O)(=O)C2=CC=C(Cl)C=C2)C=C1	DTXSID5020310
CN(C)C(=O)NC1=CC=C(Cl)C=C1	DTXSID0020311
CC(C)CC1=CC=C(CCC2=CC3=C(S2)N2C(C)=NN=C2C(C)N=C3C2=C(Cl)C=CC=C2)C=C1	DTXSID5020312
ClC1=CC=C(SC2=CC(Cl)=C(Cl)C=C2Cl)C=C1	DTXSID5020314
[O-][N+](=O)C(Cl)(Cl)Cl	DTXSID0020315
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl	DTXSID0020319
CN(C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1	DTXSID4020321
CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1	DTXSID9020322
C[N+](C)(C)CCO	DTXSID4020325
OC1=CC=CC2=C1C(=O)C1=C(O)C=CC=C1C2=O	DTXSID9020328
CN\C(NCCSCC1=C(C)NC=N1)=N/C#N	DTXSID4020329
NC1=C(C=CC=C1)C(=O)OCC=CC1=CC=CC=C1	DTXSID3020330
CC(C)(OC1=CC=C(C=C1)C1CC1(Cl)Cl)C(O)=O	DTXSID8020331
OC(=O)CC(O)(CC(O)=O)C(O)=O	DTXSID3020332
CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1	DTXSID3020336
CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1	DTXSID8020337
[H]C12CC3=C4C(OC5C(O)C=CC1C45CCN2C)=C(OC)C=C3	DTXSID2020341
CNC1CCC2=C(C(OC)=C(OC)C(OC)=C2)C2=CC=C(OC)C(=O)C=C12	DTXSID7020342
CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O	DTXSID7020344
CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2	DTXSID2020347
O=C1OC2=C(C=CC=C2)C=C1	DTXSID7020348
COC1=CC(C)=C(N)C=C1	DTXSID2020349
COC1=CC=C(C)C=C1N	DTXSID1020350
ON(N=O)C1=CC=CC=C1	DTXSID1020352
NC(=N)NC#N	DTXSID1020354
OS(=O)(=O)NC1CCCCC1	DTXSID6020355
OCC1OC2C(OC3=NC(=N)C=CN23)C1O	DTXSID6020357
[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(OC8([H])OC(CO)C([H])(O1)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O	DTXSID1020358
O=C1CCCCC1	DTXSID6020359
C1CCC(CC1)NSC1=NC2=C(S1)C=CC=C2	DTXSID5020360
NC1CCCCC1	DTXSID0020361
O=NC1CCCC1	DTXSID0020363
CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	DTXSID0020365
CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC12C)C(C)=O	DTXSID5020366
NC(CS)C(O)=O	DTXSID0020367
COC1=CC=C(C=C1)C(=O)C(Br)=CC(O)=O	DTXSID5020368
CN(C)N=NC1=C(NC=N1)C(N)=O	DTXSID0020369
CN(C)NC(=O)CCC(O)=O	DTXSID9020370
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1	DTXSID4020371
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1	DTXSID9020372
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	DTXSID4020373
ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	DTXSID9020374
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl	DTXSID4020375
BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br	DTXSID9020376
CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C	DTXSID9020378
CC12CCC3C(CC=C4CC(O)CCC34C)C1CCC2=O	DTXSID4020379
CC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4=O)C3CC=C2C1	DTXSID3020380
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1	DTXSID8020381
COC1C(CC2CN3CCC4=C(NC5=CC=CC=C45)C3CC2C1C(=O)OC)OC(=O)C1=CC(OC)=C(OC)C(OC)=C1	DTXSID8020383
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	DTXSID3020384
CC(=O)NNC(C)=O	DTXSID7020390
CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl	DTXSID2020391
C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C	DTXSID7020392
COC1=CC=C(N)C=C1N	DTXSID7020398
NC1=CC=C(C=C1)N=NC1=CC=C(N)C=C1	DTXSID2020399
